Experiment Name,Trial Id,Trial Name,Pass Data (PassID; If Player Fired; Time Player Fired; Min Distance Proj and Asteroid)
Experiment,1,Diagonal Trial,(1; 1; 0; 1.242323; 1.838465) (2; 1; 0; 0.8777893; 2.774909) (3; 1; 1; 1.839486; 0) 
Experiment,1,Diagonal Trial,(1; 1; 1; 1.043842; 0) 

