Trial Name,Asteroid Speed,Asteroid Slope,Pass Data (PassID; If Player Fired; Time Player Fired; Min Distance Proj and Asteroid)
Diagonal Trial,3,0,(1; 1; 1; 2.136626; 0) 
Diagonal Trial,3,0.5,(1; 1; 1; 1.259096; 0) 

