Experiment Name,Trial Id,Trial Name,Pass Data (PassID; If Player Fired; Time Player Fired; Min Distance Proj and Asteroid)
Experiment,1,Diagonal Trial,(1; 1; 1; 1.954984; 0) 
Experiment,1,Diagonal Trial,(1; 1; 1; 1.25876; 0) 

